Subject_id,cluster_label
AXSW,3
BHGY,3
BVCX,3
CVBN,1
DFGH,1
DFZX,3
DKLQ,2
EDFR,2
FDSA,3
FDXC,2
FGHZ,1
FTLD,2
FTYP,3
FYDR,1
GHFJ,3
GHJK,1
GTYU,3
HGFD,1
HJKL,3
HPLX,1
JFDE,1
JHGF,1
JKLM,1
JKLZ,1
JKZX,3
KJHG,2
LKJH,1
LKMN,1
LKPW,3
LPDW,3
LPZV,1
LRTB,3
MJKL,1
MJUY,2
MNBW,1
MNOP,1
MTYH,1
MYTZ,1
NBVC,3
NHZA,1
NMBV,2
NMJU,3
NMKL,1
NVBX,2
OPKJ,2
PKJH,1
PLMO,2
PLRQ,3
POIU,3
QAXY,1
QAZW,3
QPLM,1
QPMN,3
QPOI,3
QWER,3
QWRT,3
QXZW,3
REWQ,3
RIQW,3
RQWE,2
RTGH,3
SBQRG,1
SBTBT,1
SHYXZ,3
SJWQP,1
SLMJK,3
SNMVN,3
SPKZR,2
SRKLP,1
STWXJ,2
SVTZM,3
SXVBN,2
TGVB,1
TYDF,1
TYZX,3
UIOP,2
UJNH,3
UPLK,2
UYGH,1
UYTR,1
VBNM,2
VFTY,3
VIWZ,3
VNPL,1
WERT,3
WZXE,1
XCVH,1
XCVN,2
XRTY,1
XUYP,3
XZPT,1
YTRE,3
YUZW,2
ZRTY,2
ZXAS,1
ZXCJ,1
ZXCV,3
ZXNM,1
ZXWE,1
ZYXW,2
