subject_id,block_type,q2,q3,q4,q6,q9,q10,tab_key,session_id,total_damage_taken,total_shot_all,total_kill,total_death,total_shot_hit,total_engage,rocket_shot_hit,gun_shot_hit,self_kill,gender,race,trait_score,state_score,trust_score,mode_cluster,Age,Gender,Race,Education,Smote_frequently,Caffeine_Consumption,Q2_How long have you played games,Q3_how often do you currently play video games?,Q4_During the average week how many hours do you currently spend playing video games?,Q5_When you play video games how many hours do you usually spend playing,Q6_How skilled do you feel you are at playing video games,Q7_Please rate your experience playing video games on a scale of 1 (very inexperienced) to 7 (very experienced).,"Q8_Please rate each of the following game genres based on your preference, on a scale from 1 (Least Preferred) to 5 (Most Preferred). - First-person shooter","Q9_Please rate each of the following game genres based on your preference, on a scale from 1 (Least Preferred) to 5 (Most Preferred). - Realistic military","Q10_Please rate each of the following game genres based on your preference, on a scale from 1 (Least Preferred) to 5 (Most Preferred). - Driving or Racing","Q11_Please rate each of the following game genres based on your preference, on a scale from 1 (Least Preferred) to 5 (Most Preferred). - Strategy","Q12_Please rate each of the following game genres based on your preference, on a scale from 1 (Least Preferred) to 5 (Most Preferred). - Role-playing","Q13_Please rate each of the following game genres based on your preference, on a scale from 1 (Least Preferred) to 5 (Most Preferred). - Other",Q14_List the top 3 games you have played most frequently within the last 6 months - Top 1?,Q15_List the top 3 games you have played most frequently within the last 6 months - Top 2?,Q16_List the top 3 games you have played most frequently within the last 6 months - Top 3?,Q17_List any official gaming rankings that you currently have or have had in the past - Ranking,Q18_List any official gaming rankings that you currently have or have had in the past - Ranking,Q19_List any official gaming rankings that you currently have or have had in the past - Ranking,Q20,Q21_Do you currently play in a competitive gaming league?,Q22_Have you ever played in a competitive gaming league?,Q23_Have you recorded your number of wins?,Q24_How many wins?,Q25_Total number of competitions:,Q26_On a scale of 1 (never) to 4 (very often) indicate how often you have played the following genres of video games. A. Stimulation,Q27_On a scale of 1 (never) to 4 (very often) indicate how often you have played the following genres of video games. B. Strategy,Q28_On a scale of 1 (never) to 4 (very often) indicate how often you have played the following genres of video games. C. Action,Q29_On a scale of 1 (never) to 4 (very often) indicate how often you have played the following genres of video games. D. Role Playing,Q30_On a scale of 1 (never) to 4 (very often) indicate how often you have played the following genres of video games. E. Unclassified,Q2_What is the relationship between you and your teammate?,Q3_What is the relationship between you and opponent 1?,Q4_What is the relationship between you and opponent 2?
BVCX,block_01,4,2,3,3,38,32,0,1263e8ef-4b1f-9a88-a07b-85971cac44ab,729.1928016,141,2,11,14,17,0,14,0,Male,Prefer not to say,44.0,48.0,94,3,27,Male,Prefer not to say,Graduate,Never,A few times per month,6 months,Less than once a month,Less than 2 hours,2-5 hours,Not very skilled,4,4,4,5,3,2,4,Coding Games,GTA 5,Call of Duty,Counter Strike Go, , , ,No,No,No, , ,3,2,3,1,1,This person is a friend. I know this person well and like them.,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.
BVCX,block_02,4,4,3,4,21,18,0,6ee85647-4297-186c-24fa-c4970441459c,1583.916572,99,3,21,30,18,0,30,0,Male,Prefer not to say,44.0,48.0,94,3,27,Male,Prefer not to say,Graduate,Never,A few times per month,6 months,Less than once a month,Less than 2 hours,2-5 hours,Not very skilled,4,4,4,5,3,2,4,Coding Games,GTA 5,Call of Duty,Counter Strike Go, , , ,No,No,No, , ,3,2,3,1,1,This person is a friend. I know this person well and like them.,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.
BVCX,block_03,4,2,3,4,15,23,0,b8103d26-48b2-edb7-9cf6-febff2e0b27b,1035.726212,173,2,16,35,29,0,35,0,Male,Prefer not to say,44.0,48.0,94,3,27,Male,Prefer not to say,Graduate,Never,A few times per month,6 months,Less than once a month,Less than 2 hours,2-5 hours,Not very skilled,4,4,4,5,3,2,4,Coding Games,GTA 5,Call of Duty,Counter Strike Go, , , ,No,No,No, , ,3,2,3,1,1,This person is a friend. I know this person well and like them.,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.
BVCX,block_04,4,3,2,3,19,26,0,7dcb719f-46a8-2478-bac5-4da70d64241f,1045.448052,60,4,13,11,13,5,6,0,Male,Prefer not to say,44.0,48.0,94,3,27,Male,Prefer not to say,Graduate,Never,A few times per month,6 months,Less than once a month,Less than 2 hours,2-5 hours,Not very skilled,4,4,4,5,3,2,4,Coding Games,GTA 5,Call of Duty,Counter Strike Go, , , ,No,No,No, , ,3,2,3,1,1,This person is a friend. I know this person well and like them.,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.
CVBN,block_01,1,5,10,10,90,50,0,81378b98-41c5-d358-1442-72be5ced37bb,249.232862,138,9,3,39,16,0,39,0,Male,White/Caucasian,51.0,34.0,96,1,21,Male,White/Caucasian,Undergraduate,Never,A few times per month,10 or more years,Almost every day,More than 20 hours,2-5 hours,Very skilled,7,4,3,4,3,5,3,Fighting Games,Red Dead Redemption 2,Days Gone,Call of Duty Modern Warfare 2019, , , ,No,No,No, , ,2,2,4,4,1,This person is a friend. I know this person well and like them.,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.
CVBN,block_02,1,6,11,9,96,67,0,ca5139a6-4482-929d-9f37-54910b13f6a3,535.513111,230,18,6,65,27,6,59,0,Male,White/Caucasian,51.0,34.0,96,1,21,Male,White/Caucasian,Undergraduate,Never,A few times per month,10 or more years,Almost every day,More than 20 hours,2-5 hours,Very skilled,7,4,3,4,3,5,3,Fighting Games,Red Dead Redemption 2,Days Gone,Call of Duty Modern Warfare 2019, , , ,No,No,No, , ,2,2,4,4,1,This person is a friend. I know this person well and like them.,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.
CVBN,block_03,1,6,13,14,77,58,0,b2c14a1f-48d5-3766-86db-52b27a73b13b,658.2168858,162,15,8,57,31,13,44,0,Male,White/Caucasian,51.0,34.0,96,1,21,Male,White/Caucasian,Undergraduate,Never,A few times per month,10 or more years,Almost every day,More than 20 hours,2-5 hours,Very skilled,7,4,3,4,3,5,3,Fighting Games,Red Dead Redemption 2,Days Gone,Call of Duty Modern Warfare 2019, , , ,No,No,No, , ,2,2,4,4,1,This person is a friend. I know this person well and like them.,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.
CVBN,block_04,1,6,9,8,95,62,0,4f300843-434e-188e-ca63-70a6fceb8f72,463.201236,153,20,5,50,24,15,35,0,Male,White/Caucasian,51.0,34.0,96,1,21,Male,White/Caucasian,Undergraduate,Never,A few times per month,10 or more years,Almost every day,More than 20 hours,2-5 hours,Very skilled,7,4,3,4,3,5,3,Fighting Games,Red Dead Redemption 2,Days Gone,Call of Duty Modern Warfare 2019, , , ,No,No,No, , ,2,2,4,4,1,This person is a friend. I know this person well and like them.,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.
DFGH,block_01,2,5,8,6,38,91,0,81378b98-41c5-d358-1442-72be5ced37bb,277.77572,66,3,3,12,7,0,12,0,Male,Asian,51.0,43.0,94,1,22,Male,Asian,GED,Never,Rarely,6 months,1-3 times a month,Less than 2 hours,2-5 hours,Not very skilled,3,3,4,3,5,5,5,Horror,Assassin's Creed Origins,Minecraft,Forza , , , ,No,No,No, , ,2,3,1,3,4,This person is a friend. I know this person well and like them.,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.
DFGH,block_02,2,9,5,5,68,90,1,ca5139a6-4482-929d-9f37-54910b13f6a3,367.562972,165,10,5,53,21,0,53,0,Male,Asian,51.0,43.0,94,1,22,Male,Asian,GED,Never,Rarely,6 months,1-3 times a month,Less than 2 hours,2-5 hours,Not very skilled,3,3,4,3,5,5,5,Horror,Assassin's Creed Origins,Minecraft,Forza , , , ,No,No,No, , ,2,3,1,3,4,This person is a friend. I know this person well and like them.,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.
DFGH,block_03,2,12,9,9,50,89,0,b2c14a1f-48d5-3766-86db-52b27a73b13b,479.776484,56,9,6,27,16,7,20,0,Male,Asian,51.0,43.0,94,1,22,Male,Asian,GED,Never,Rarely,6 months,1-3 times a month,Less than 2 hours,2-5 hours,Not very skilled,3,3,4,3,5,5,5,Horror,Assassin's Creed Origins,Minecraft,Forza , , , ,No,No,No, , ,2,3,1,3,4,This person is a friend. I know this person well and like them.,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.
DFGH,block_04,2,8,6,7,82,94,0,4f300843-434e-188e-ca63-70a6fceb8f72,444.755671,129,14,3,51,20,8,43,0,Male,Asian,51.0,43.0,94,1,22,Male,Asian,GED,Never,Rarely,6 months,1-3 times a month,Less than 2 hours,2-5 hours,Not very skilled,3,3,4,3,5,5,5,Horror,Assassin's Creed Origins,Minecraft,Forza , , , ,No,No,No, , ,2,3,1,3,4,This person is a friend. I know this person well and like them.,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.
DFZX,block_01,2,1,1,1,100,100,0,9e78a544-4fad-2033-7311-4f8a28b2f34f,608.437396,187,12,8,59,26,2,57,0,Male,Asian,61.0,34.0,83,1,19,Male,Asian,GED,Never,Rarely,10 or more years,Almost every day,10-15 hours,2-5 hours,Moderately skilled,6,5,2,2,4,3,4,Fighting Games,Destiny 2,Tekken 8,Valorant,Ascendant,Rajin,Diamond,No,No,No, , ,1,2,4,3,4,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.
DFZX,block_02,2,1,1,1,100,100,7,505ab3c0-4bfb-f248-a0ff-53be350d22d6,716.655472,201,22,9,83,30,5,78,0,Male,Asian,61.0,34.0,83,1,19,Male,Asian,GED,Never,Rarely,10 or more years,Almost every day,10-15 hours,2-5 hours,Moderately skilled,6,5,2,2,4,3,4,Fighting Games,Destiny 2,Tekken 8,Valorant,Ascendant,Rajin,Diamond,No,No,No, , ,1,2,4,3,4,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.
DFZX,block_03,2,1,1,1,100,100,5,e27612de-4620-d131-fe94-1d8df7bf34e9,576.8775845,173,20,6,61,29,12,49,0,Male,Asian,61.0,34.0,83,1,19,Male,Asian,GED,Never,Rarely,10 or more years,Almost every day,10-15 hours,2-5 hours,Moderately skilled,6,5,2,2,4,3,4,Fighting Games,Destiny 2,Tekken 8,Valorant,Ascendant,Rajin,Diamond,No,No,No, , ,1,2,4,3,4,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.
DFZX,block_04,2,1,1,1,100,100,22,5d02a094-4bec-a7f8-e7d4-979a9b28ba7c,939.38321,202,19,12,64,29,13,51,1,Male,Asian,61.0,34.0,83,1,19,Male,Asian,GED,Never,Rarely,10 or more years,Almost every day,10-15 hours,2-5 hours,Moderately skilled,6,5,2,2,4,3,4,Fighting Games,Destiny 2,Tekken 8,Valorant,Ascendant,Rajin,Diamond,No,No,No, , ,1,2,4,3,4,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.,This person is a stranger. I am meeting them for the 1st time today.
