Subject_id,cluster_labels
AXSW,1
BHGY,3
BVCX,3
CVBN,1
DFGH,1
DFZX,1
DKLQ,3
EDFR,2
FDSA,1
FDXC,2
FGHZ,2
FTLD,1
FTYP,3
FYDR,1
GHFJ,2
GHJK,2
GTYU,2
HGFD,1
HJKL,3
HPLX,1
JFDE,1
JHGF,2
JKLM,1
JKLZ,1
JKZX,2
KJHG,1
LKJH,1
LKMN,3
LKPW,2
LPDW,2
LPZV,1
LRTB,3
MJKL,3
MJUY,2
MNBW,2
MNOP,1
MTYH,1
MYTZ,2
NBVC,3
NHZA,2
NMBV,1
NMJU,2
NMKL,2
NVBX,3
OPKJ,1
PKJH,3
PLMO,2
PLRQ,3
POIU,2
QAXY,1
QAZW,2
QPLM,1
QPMN,3
QPOI,3
QWER,3
QWRT,3
QXZW,1
REWQ,2
RIQW,2
RQWE,2
RTGH,1
SBQRG,1
SBTBT,1
SHYXZ,1
SJWQP,2
SLMJK,2
SNMVN,1
SPKZR,1
SRKLP,3
STWXJ,3
SVTZM,1
SXVBN,1
TGVB,1
TYDF,2
TYZX,1
UIOP,1
UJNH,1
UPLK,1
UYGH,1
UYTR,1
VBNM,1
VFTY,1
VIWZ,1
VNPL,2
WERT,3
WZXE,2
XCVH,2
XCVN,1
XRTY,1
XUYP,3
XZPT,1
YTRE,1
YUZW,2
ZRTY,1
ZXAS,2
ZXCJ,1
ZXCV,2
ZXNM,2
ZXWE,1
ZYXW,1
