Subject_id,Computer_name,Block_type,Date,Session_id,Match_start,Match_end,Total_damage_deal,Gun_damage_deal,Rocket_damage_deal,Total_damage_taken,Gun_damage_taken,Rocket_damage_taken,Total_engage,Gun_engage,Rocket_engage,Total_shot_all,Gun_shot_all,Rocket_shot_all,Total_shot_hit,Gun_shot_hit,Rocket_shot_hit,Damager_per_Second_all,Shot_per_Second_all,Damager_per_Second_Hit_only,Shot_per_Second_Hit_only,Gun_kill,Rocket_kill,Total_kill,Death_by_gun,Death_by_rocket,Total_Death,Self_kill,Total_key_pressed,W_key,A_key,S_key,D_key,R_key,Q_key,MouseScrollDown,MouseScrollUp,SpaceBar,LeftMouseButton,RightMouseButton,Tab_key,Percent_of_Null_in_Pupil,Percent_of_Null_in_Gaze,Pupil_Average_mean,Pupil_Average_std,Pupil_Average_min,Pupil_Average_25th,Pupil_Average_50th,Pupil_Average_75th,Pupil_Average_max,Pupil_difference_mean,Pupil_difference_std,Pupil_difference_min,Pupil_difference_25th,Pupil_difference_50th,Pupil_difference_75th,Pupil_difference_max,Gaze_velocity_mean,Gaze_velocity_std,Gaze_velocity_min,Gaze_velocity_25th,Gaze_velocity_50th,Gaze_velocity_75th,Gaze_velocity_max,Heart_rate_min,Heart_rate_mean,Heart_rate_max,Heart_rate_variability,ECG_signal_to_noise
BVCX,mammal_panda,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07844922605070206,0.09656395265251354,2.9941265489780964,0.23963514257955715,1.24755859375,2.8315963745117188,2.9755592346191406,3.145214080810547,3.9269866943359375,0.11801118052662951,0.08243139334375867,1.52587890625e-05,0.06388473510742199,0.10833740234375022,0.15309524536132812,1.101898193359375,0.575337415413104,0.9061444338186103,0.003154763562049232,0.16208027129709687,0.313574031280723,0.6423118711053927,28.81030367832778,57.25190308285659,61.93569615887119,67.87329833471107,23.525739471701183,10.267628060117385
BVCX,mammal_panda,block_01,2024-04-16,1263e8ef-4b1f-9a88-a07b-85971cac44ab,2024-04-16 10:57:55.237102-04:00,2024-04-16 11:08:10.982526-04:00,210.0,210.0,0.0,729.1928015999999,615.0,114.1928016,17.0,17.0,0.0,141.0,141.0,0.0,14.0,14.0,0.0,3.4348610928532053,0.228990739523547,0.3410500375882615,0.022736669172550766,2.0,0.0,2.0,10.0,1.0,11.0,0.0,473.0,128.0,143.0,5.0,84.0,2.0,0.0,0.0,0.0,41.0,61.0,4.0,0.0,0.08976088748969342,0.09886815081328236,3.9425433015874805,0.34116217750614003,1.7532958984375,3.7139530181884766,3.9268951416015625,4.16926383972168,5.701934814453125,0.2366631458485354,0.07981548532549977,4.57763671875e-05,0.18908691406250044,0.2338409423828125,0.2777862548828125,1.881927490234375,0.6455412774724479,1.4849614711245862,0.0009292355492524494,0.1475543033819378,0.25542489428791637,0.44607926774797335,46.69881707499192,20.215635488801915,69.1061838574475,124.9999329448106,75.4134296433375,10.196421796428004
BVCX,mammal_panda,block_02,2024-04-16,6ee85647-4297-186c-24fa-c4970441459c,2024-04-16 11:12:32.018475-04:00,2024-04-16 11:22:47.387228-04:00,450.0,450.0,0.0,1583.916572,1020.0,563.916572,18.0,18.0,0.0,99.0,99.0,0.0,30.0,30.0,0.0,2.4131872032182953,0.1608791468812197,0.7312688494600895,0.04875125663067264,3.0,0.0,3.0,16.0,5.0,21.0,0.0,450.0,105.0,72.0,2.0,114.0,0.0,0.0,0.0,0.0,38.0,64.0,51.0,0.0,0.17851036008851337,0.2074280828807081,3.8661378228976386,0.3688546663256353,1.6998291015625,3.61279296875,3.847343444824219,4.119331359863281,4.987884521484375,0.2256333923975281,0.08170304152109797,9.1552734375e-05,0.1770477294921875,0.2253265380859375,0.2709197998046875,2.24603271484375,0.6463481952549953,1.6423411621583903,0.0008475267152888365,0.14030398118897094,0.23839027113639996,0.4156950397572904,68.15439390256296,57.47126930271466,67.61706491568633,96.15387172389288,78.94275081570724,10.217654085886958
BVCX,mammal_panda,block_03,2024-04-16,b8103d26-48b2-edb7-9cf6-febff2e0b27b,2024-04-16 11:27:04.499339-04:00,2024-04-16 11:37:19.733358-04:00,525.0,525.0,0.0,1035.726212,870.0,165.726212,29.0,29.0,0.0,173.0,173.0,0.0,35.0,35.0,0.0,4.217907202559942,0.28119381350399614,0.8533338271075027,0.05688892180716684,2.0,0.0,2.0,15.0,1.0,16.0,0.0,460.0,81.0,112.0,5.0,78.0,1.0,4.0,0.0,0.0,39.0,87.0,51.0,0.0,0.05089618278629103,0.057995650326225535,3.852902533061736,0.3956461492747752,2.4337921142578125,3.5617942810058594,3.8195037841796875,4.112056732177734,5.149444580078125,0.2167018474757128,0.0705130873373907,4.577636718838818e-05,0.17311096191406294,0.21472167968750044,0.26138305664062456,1.2991485595703125,0.6135834676252994,1.6324640309235297,0.00044691227574213745,0.14212638135777578,0.23804572810512983,0.40662355233550684,100.16709911011372,57.25190308285659,66.44092738505016,77.72019976510214,26.19035807103059,10.4455635769504
BVCX,mammal_panda,block_04,2024-04-16,7dcb719f-46a8-2478-bac5-4da70d64241f,2024-04-16 11:41:35.548627-04:00,2024-04-16 11:51:51.212965-04:00,465.836047,90.0,375.836047,1045.4480523,540.0,505.4480523,13.0,8.0,5.0,60.0,49.0,11.0,11.0,6.0,5.0,2.192780246920847,0.0974557015839368,0.7566396463912126,0.017866878623721744,0.0,4.0,4.0,8.0,5.0,13.0,0.0,453.0,107.0,49.0,0.0,143.0,0.0,34.0,0.0,0.0,40.0,54.0,24.0,0.0,0.061713065289194624,0.06566170809844289,3.7305183741145442,0.37106992972314684,1.6475677490234375,3.4743804931640625,3.6912918090820312,3.9663772583007812,4.8577728271484375,0.21182275148739357,0.06556933186444916,0.00030517578125,0.1727294921875,0.21031188964843683,0.2497558593750001,1.90423583984375,0.6547352695315009,1.6317553729373258,0.0012535775885355413,0.15118013515480277,0.2505327435461537,0.41855301275941426,50.99906301166353,59.76095924063204,67.91491661463442,86.20691379762164,25.185816956359222,10.520248027920715
CVBN,reptile_komodo,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06470642455525855,0.0682551387224629,4.005236776123705,0.20675814537036652,1.5281829833984375,3.872772216796875,3.9799041748046875,4.139350891113281,4.8626708984375,0.07833196382719738,0.07288990362529701,4.57763671875e-05,0.034843444824218306,0.0670928955078125,0.10292053222656272,1.739288330078125,0.46787009543254837,1.4159001270960225,0.0009313488170748926,0.12477304892441478,0.2176167475062859,0.37683807045126044,109.29182648771744,95.54136180991517,115.68406277844774,135.13513339358235,11.73528923010205,6.571523887944331
CVBN,reptile_komodo,block_01,2024-04-09,81378b98-41c5-d358-1442-72be5ced37bb,2024-04-09 15:25:24.122564-04:00,2024-04-09 15:35:39.881001-04:00,585.0,585.0,0.0,249.23286195,150.0,99.23286195,16.0,15.0,1.0,138.0,137.0,1.0,39.0,39.0,0.0,3.4134662778481752,0.22411385976673187,0.9500478837937547,0.06333652558625032,9.0,0.0,9.0,2.0,1.0,3.0,0.0,950.0,169.0,254.0,54.0,318.0,22.0,0.0,4.0,2.0,36.0,37.0,45.0,0.0,0.023452887537993922,0.02460790273556231,4.854909713293459,0.41217239879575435,1.5436859130859375,4.670864105224609,4.919708251953125,5.141973495483398,6.0023651123046875,0.13984852215450844,0.09202114621866699,1.52587890625e-05,0.0651321411132817,0.13128662109375,0.2036285400390625,1.4821929931640625,0.6457649892002147,1.3066054690463544,0.0012827967158135364,0.18025371351427788,0.31462353802978915,0.5459374597910827,42.745535452053225,129.31034854844702,159.55075924510626,174.41867428127858,3.6782648380584084,5.623259789737983
CVBN,reptile_komodo,block_02,2024-04-09,ca5139a6-4482-929d-9f37-54910b13f6a3,2024-04-09 15:41:12.594259-04:00,2024-04-09 15:51:28.226923-04:00,1268.9839378,885.0,383.98393780000004,535.513111,120.0,415.513111,27.0,20.0,7.0,230.0,219.0,11.0,65.0,59.0,6.0,6.385861184747014,0.3735994099234475,2.061268045062664,0.10558244193488733,14.0,4.0,18.0,1.0,5.0,6.0,0.0,965.0,155.0,320.0,38.0,224.0,21.0,0.0,19.0,0.0,52.0,70.0,62.0,0.0,0.038080937376920046,0.03985328869633714,5.01694260459253,0.3813022521999049,1.6453704833984375,4.785804748535156,5.046913146972656,5.271842956542969,6.288017272949219,0.08326895945209346,0.06985461619298125,0.0,0.031524658203125,0.068939208984375,0.117034912109375,1.4547271728515625,0.610661419667245,1.787512387007916,0.001458146662465037,0.17625502595291748,0.30522358027406377,0.517988709226282,239.56053520609555,133.92851383864922,153.52846925328762,168.53935112632703,3.96906098163161,5.7615009805665345
CVBN,reptile_komodo,block_03,2024-04-09,b2c14a1f-48d5-3766-86db-52b27a73b13b,2024-04-09 15:57:50.375414-04:00,2024-04-09 16:08:05.546501-04:00,1280.8975615,660.0,620.8975614999999,658.21688578,150.0,508.21688578,31.0,20.0,11.0,162.0,140.0,22.0,57.0,44.0,13.0,4.9310161083692154,0.26334137514496025,2.0821810201557795,0.0926571505139675,9.0,6.0,15.0,2.0,6.0,8.0,0.0,1008.0,129.0,237.0,47.0,329.0,15.0,0.0,19.0,0.0,73.0,87.0,69.0,0.0,0.030859551407496612,0.03151186712830548,5.083938324398497,0.4062199220809483,2.64263916015625,4.85760498046875,5.120147705078125,5.35504150390625,6.303985595703125,0.07182955352889159,0.05892236898796174,0.0,0.027725219726562944,0.0594329833984375,0.10294342041015625,1.2041015625,0.5844711834588172,1.1935486056915094,0.0017648262716087903,0.17860524892984905,0.3071998525474619,0.5176720771571218,69.02306289946817,130.4347717919746,147.98841265860483,163.04357037206924,4.535738887943587,5.710494778513283
CVBN,reptile_komodo,block_04,2024-04-09,4f300843-434e-188e-ca63-70a6fceb8f72,2024-04-09 16:13:54.698624-04:00,2024-04-09 16:24:09.941301-04:00,1403.93456,525.0,878.9345599999999,463.201236,210.0,253.201236,24.0,11.0,13.0,153.0,127.0,26.0,50.0,35.0,15.0,5.34760795486884,0.2486823585549154,2.2819199845591984,0.08126874462578935,9.0,11.0,20.0,3.0,2.0,5.0,0.0,968.0,136.0,251.0,41.0,242.0,20.0,0.0,20.0,0.0,126.0,88.0,42.0,0.0,0.04287561224236096,0.051092712761990004,5.342546923885305,0.3549085638012986,2.353424072265625,5.114830017089844,5.361480712890625,5.589717864990234,6.344581604003906,0.09112385759246766,0.0719586421067281,0.0,0.0359039306640625,0.07562255859375,0.1303253173828134,0.9404449462890625,0.63117584218,1.268083298891012,0.002026685803893783,0.18876638301708515,0.3202581713967302,0.5389783572914109,27.078134239158167,122.95084081648606,141.72177758380758,157.8947883563857,5.780730424672332,5.8051701891171446
