Subject_id,Computer_name,Block_type,Date,Session_id,Match_start,Match_end,screenshot_kill,screenshot_death,Total_damage_deal,Gun_damage_deal,Rocket_damage_deal,Total_damage_taken,Gun_damage_taken,Rocket_damage_taken,Total_engage,Gun_engage,Rocket_engage,Total_shot_all,Gun_shot_all,Rocket_shot_all,Total_shot_hit,Gun_shot_hit,Rocket_shot_hit,Damager_per_Second_all,Shot_per_Second_all,Damager_per_Second_Hit_only,Shot_per_Second_Hit_only,Gun_kill,Rocket_kill,Total_kill,Death_by_gun,Death_by_rocket,Total_Death,Self_kill,Total_key_pressed,W_key,A_key,S_key,D_key,R_key,Q_key,MouseScrollDown,MouseScrollUp,SpaceBar,LeftMouseButton,RightMouseButton,Tab_key,Percent_of_Null_in_Pupil,Percent_of_Null_in_Gaze,Pupil_Average_mean,Pupil_Average_std,Pupil_Average_min,Pupil_Average_25th,Pupil_Average_50th,Pupil_Average_75th,Pupil_Average_max,Pupil_difference_mean,Pupil_difference_std,Pupil_difference_min,Pupil_difference_25th,Pupil_difference_50th,Pupil_difference_75th,Pupil_difference_max,Gaze_velocity_mean,Gaze_velocity_std,Gaze_velocity_min,Gaze_velocity_25th,Gaze_velocity_50th,Gaze_velocity_75th,Gaze_velocity_max,Heart_rate_min,Heart_rate_mean,Heart_rate_max,Heart_rate_variability,ECG_signal_to_noise
BVCX,mammal_panda,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078449226,0.096563953,2.994126549,0.239635143,1.247558594,2.831596375,2.975559235,3.145214081,3.926986694,0.118011181,0.082431393,1.53E-05,0.063884735,0.108337402,0.153095245,1.101898193,0.575337415,0.906144434,0.003154764,0.162080271,0.313574031,0.642311871,28.81030368,57.25190308,61.93569616,67.87329833,23.52573947,10.26762806
BVCX,mammal_panda,block_01,4/16/2024,1263e8ef-4b1f-9a88-a07b-85971cac44ab,2024-04-16 10:57:55.237102-04:00,2024-04-16 11:08:10.982526-04:00,2,11,210,210,0,729.1928016,615,114.1928016,17,17,0,141,141,0,14,14,0,3.434861093,0.22899074,0.341050038,0.022736669,2,0,2,10,1,11,0,473,128,143,5,84,2,0,0,0,41,61,4,0,0.089760887,0.098868151,3.942543302,0.341162178,1.753295898,3.713953018,3.926895142,4.16926384,5.701934814,0.236663146,0.079815485,4.58E-05,0.189086914,0.233840942,0.277786255,1.88192749,0.645541278,1.484961471,0.000929236,0.147554303,0.255424894,0.446079268,46.69881707,20.21563549,69.10618386,124.9999329,75.41342964,10.1964218
BVCX,mammal_panda,block_02,4/16/2024,6ee85647-4297-186c-24fa-c4970441459c,2024-04-16 11:12:32.018475-04:00,2024-04-16 11:22:47.387228-04:00,3,21,450,450,0,1583.916572,1020,563.916572,18,18,0,99,99,0,30,30,0,2.413187203,0.160879147,0.73126885,0.048751257,3,0,3,16,5,21,0,450,105,72,2,114,0,0,0,0,38,64,51,0,0.17851036,0.207428083,3.866137823,0.368854666,1.699829102,3.612792969,3.847343445,4.11933136,4.987884521,0.225633392,0.081703042,9.16E-05,0.17704773,0.225326538,0.2709198,2.246032715,0.646348195,1.642341162,0.000847527,0.140303981,0.238390271,0.41569504,68.1543939,57.4712693,67.61706492,96.15387172,78.94275082,10.21765409
BVCX,mammal_panda,block_03,4/16/2024,b8103d26-48b2-edb7-9cf6-febff2e0b27b,2024-04-16 11:27:04.499339-04:00,2024-04-16 11:37:19.733358-04:00,2,16,525,525,0,1035.726212,870,165.726212,29,29,0,173,173,0,35,35,0,4.217907203,0.281193814,0.853333827,0.056888922,2,0,2,15,1,16,0,460,81,112,5,78,1,4,0,0,39,87,51,0,0.050896183,0.05799565,3.852902533,0.395646149,2.433792114,3.561794281,3.819503784,4.112056732,5.14944458,0.216701848,0.070513087,4.58E-05,0.173110962,0.21472168,0.261383057,1.29914856,0.613583468,1.632464031,0.000446912,0.142126381,0.238045728,0.406623552,100.1670991,57.25190308,66.44092739,77.72019977,26.19035807,10.44556358
BVCX,mammal_panda,block_04,4/16/2024,7dcb719f-46a8-2478-bac5-4da70d64241f,2024-04-16 11:41:35.548627-04:00,2024-04-16 11:51:51.212965-04:00,4,13,465.836047,90,375.836047,1045.448052,540,505.4480523,13,8,5,60,49,11,11,6,5,2.192780247,0.097455702,0.756639646,0.017866879,0,4,4,8,5,13,0,453,107,49,0,143,0,34,0,0,40,54,24,0,0.061713065,0.065661708,3.730518374,0.37106993,1.647567749,3.474380493,3.691291809,3.966377258,4.857772827,0.211822752,0.065569332,0.000305176,0.172729492,0.21031189,0.249755859,1.90423584,0.65473527,1.631755373,0.001253578,0.151180135,0.250532744,0.418553013,50.99906301,59.76095924,67.91491661,86.2069138,25.18581696,10.52024803
CVBN,reptile_komodo,baseline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064706425,0.068255139,4.005236776,0.206758145,1.528182983,3.872772217,3.979904175,4.139350891,4.862670898,0.078331964,0.072889904,4.58E-05,0.034843445,0.067092896,0.102920532,1.73928833,0.467870095,1.415900127,0.000931349,0.124773049,0.217616748,0.376838071,109.2918265,95.54136181,115.6840628,135.1351334,11.73528923,6.571523888
CVBN,reptile_komodo,block_01,4/9/2024,81378b98-41c5-d358-1442-72be5ced37bb,2024-04-09 15:25:24.122564-04:00,2024-04-09 15:35:39.881001-04:00,9,3,585,585,0,249.232862,150,99.23286195,16,15,1,138,137,1,39,39,0,3.413466278,0.22411386,0.950047884,0.063336526,9,0,9,2,1,3,0,950,169,254,54,318,22,0,4,2,36,37,45,0,0.023452888,0.024607903,4.854909713,0.412172399,1.543685913,4.670864105,4.919708252,5.141973495,6.002365112,0.139848522,0.092021146,1.53E-05,0.065132141,0.131286621,0.20362854,1.482192993,0.645764989,1.306605469,0.001282797,0.180253714,0.314623538,0.54593746,42.74553545,129.3103485,159.5507592,174.4186743,3.678264838,5.62325979
CVBN,reptile_komodo,block_02,4/9/2024,ca5139a6-4482-929d-9f37-54910b13f6a3,2024-04-09 15:41:12.594259-04:00,2024-04-09 15:51:28.226923-04:00,,,1268.983938,885,383.9839378,535.513111,120,415.513111,27,20,7,230,219,11,65,59,6,6.385861185,0.37359941,2.061268045,0.105582442,14,4,18,1,5,6,0,965,155,320,38,224,21,0,19,0,52,70,62,0,0.038080937,0.039853289,5.016942605,0.381302252,1.645370483,4.785804749,5.046913147,5.271842957,6.288017273,0.083268959,0.069854616,0,0.031524658,0.068939209,0.117034912,1.454727173,0.61066142,1.787512387,0.001458147,0.176255026,0.30522358,0.517988709,239.5605352,133.9285138,153.5284693,168.5393511,3.969060982,5.761500981
CVBN,reptile_komodo,block_03,4/9/2024,b2c14a1f-48d5-3766-86db-52b27a73b13b,2024-04-09 15:57:50.375414-04:00,2024-04-09 16:08:05.546501-04:00,15,8,1280.897562,660,620.8975615,658.2168858,150,508.2168858,31,20,11,162,140,22,57,44,13,4.931016108,0.263341375,2.08218102,0.092657151,9,6,15,2,6,8,0,1008,129,237,47,329,15,0,19,0,73,87,69,0,0.030859551,0.031511867,5.083938324,0.406219922,2.64263916,4.85760498,5.120147705,5.355041504,6.303985596,0.071829554,0.058922369,0,0.02772522,0.059432983,0.10294342,1.204101563,0.584471184,1.193548606,0.001764826,0.178605249,0.307199853,0.517672077,69.0230629,130.4347718,147.9884127,163.0435704,4.535738888,5.710494779
CVBN,reptile_komodo,block_04,4/9/2024,4f300843-434e-188e-ca63-70a6fceb8f72,2024-04-09 16:13:54.698624-04:00,2024-04-09 16:24:09.941301-04:00,20,5,1403.93456,525,878.93456,463.201236,210,253.201236,24,11,13,153,127,26,50,35,15,5.347607955,0.248682359,2.281919985,0.081268745,9,11,20,3,2,5,0,968,136,251,41,242,20,0,20,0,126,88,42,0,0.042875612,0.051092713,5.342546924,0.354908564,2.353424072,5.114830017,5.361480713,5.589717865,6.344581604,0.091123858,0.071958642,0,0.035903931,0.075622559,0.130325317,0.940444946,0.631175842,1.268083299,0.002026686,0.188766383,0.320258171,0.538978357,27.07813424,122.9508408,141.7217776,157.8947884,5.780730425,5.805170189
