Subject_id,Computer_name,Block_type,Date,Session_id,Match_start,Match_end,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
BVCX,mammal_panda,pre_survey_game_familiarity,,,,,3,1,1,,,,,,
BVCX,mammal_panda,block_01,2024-04-16,1263e8ef-4b1f-9a88-a07b-85971cac44ab,2024-04-16 10:57:55.237102-04:00,2024-04-16 11:08:10.982526-04:00,4,2,3,16,3,51,10,38,32
BVCX,mammal_panda,block_02,2024-04-16,6ee85647-4297-186c-24fa-c4970441459c,2024-04-16 11:12:32.018475-04:00,2024-04-16 11:22:47.387228-04:00,4,4,3,5,4,21,6,21,18
BVCX,mammal_panda,block_03,2024-04-16,b8103d26-48b2-edb7-9cf6-febff2e0b27b,2024-04-16 11:27:04.499339-04:00,2024-04-16 11:37:19.733358-04:00,4,2,3,4,4,41,5,15,23
BVCX,mammal_panda,block_04,2024-04-16,7dcb719f-46a8-2478-bac5-4da70d64241f,2024-04-16 11:41:35.548627-04:00,2024-04-16 11:51:51.212965-04:00,4,3,2,6,3,38,11,19,26
CVBN,reptile_komodo,pre_survey_game_familiarity,,,,,3,1,1,,,,,,
CVBN,reptile_komodo,block_01,2024-04-09,81378b98-41c5-d358-1442-72be5ced37bb,2024-04-09 15:25:24.122564-04:00,2024-04-09 15:35:39.881001-04:00,1,5,10,7,10,50,9,90,50
CVBN,reptile_komodo,block_02,2024-04-09,ca5139a6-4482-929d-9f37-54910b13f6a3,2024-04-09 15:41:12.594259-04:00,2024-04-09 15:51:28.226923-04:00,1,6,11,13,9,65,10,96,67
CVBN,reptile_komodo,block_03,2024-04-09,b2c14a1f-48d5-3766-86db-52b27a73b13b,2024-04-09 15:57:50.375414-04:00,2024-04-09 16:08:05.546501-04:00,1,6,13,13,14,62,13,77,58
CVBN,reptile_komodo,block_04,2024-04-09,4f300843-434e-188e-ca63-70a6fceb8f72,2024-04-09 16:13:54.698624-04:00,2024-04-09 16:24:09.941301-04:00,1,6,9,12,8,60,10,95,62
