Subject_id,Computer_name,Block_type,Date,Session_id,Match_start,Match_end,screenshot_kill,screenshot_death,Total_kill,Total_Death,Self_kill,Different,
SBQRG,reptile_komodo,block_01,11/29/2023,b8944796-41be-f0ad-8f57-35adbb4944c5,2023-11-29 12:52:05.310171-05:00,2023-11-29 13:02:20.369341-05:00,8,4,5,0,0,50%,
SBTBT,mammal_thylacine,block_01,11/29/2023,b8944796-41be-f0ad-8f57-35adbb4944c5,2023-11-29 12:52:05.310171-05:00,2023-11-29 13:02:20.369341-05:00,14,8,7,5,0,,
SVTZM,mammal_panda,block_01,11/29/2023,b8944796-41be-f0ad-8f57-35adbb4944c5,2023-11-29 12:52:05.310171-05:00,2023-11-29 13:02:20.369341-05:00,1,5,0,2,0,,
SXVBN,reptile_gila,block_01,11/29/2023,b8944796-41be-f0ad-8f57-35adbb4944c5,2023-11-29 12:52:05.310171-05:00,2023-11-29 13:02:20.369341-05:00,5,11,2,7,0,,
SBQRG,reptile_komodo,block_02,11/29/2023,cd9f5b3e-459d-c4b2-e21f-3f9e38f88056,2023-11-29 13:16:55.523427-05:00,2023-11-29 13:27:11.089638-05:00,12,7,2,0,0,10%,
SBTBT,mammal_thylacine,block_02,11/29/2023,cd9f5b3e-459d-c4b2-e21f-3f9e38f88056,2023-11-29 13:16:55.523427-05:00,2023-11-29 13:27:11.089638-05:00,14,15,2,1,0,,
SVTZM,mammal_panda,block_02,11/29/2023,cd9f5b3e-459d-c4b2-e21f-3f9e38f88056,2023-11-29 13:16:55.523427-05:00,2023-11-29 13:27:11.089638-05:00,0,9,0,1,0,,
SXVBN,reptile_gila,block_02,11/29/2023,cd9f5b3e-459d-c4b2-e21f-3f9e38f88056,2023-11-29 13:16:55.523427-05:00,2023-11-29 13:27:11.089638-05:00,12,9,0,2,0,,
SBQRG,reptile_komodo,block_03,11/29/2023,9dad9043-4b16-3913-ef6c-b4b80700c54d,2023-11-29 13:32:35.035246-05:00,2023-11-29 13:42:51.126542-05:00,8,8,3,4,0,27%,
SBTBT,mammal_thylacine,block_03,11/29/2023,9dad9043-4b16-3913-ef6c-b4b80700c54d,2023-11-29 13:32:35.035246-05:00,2023-11-29 13:42:51.126542-05:00,18,7,6,2,0,,
SVTZM,mammal_panda,block_03,11/29/2023,9dad9043-4b16-3913-ef6c-b4b80700c54d,2023-11-29 13:32:35.035246-05:00,2023-11-29 13:42:51.126542-05:00,0,8,0,1,0,,
SXVBN,reptile_gila,block_03,11/29/2023,9dad9043-4b16-3913-ef6c-b4b80700c54d,2023-11-29 13:32:35.035246-05:00,2023-11-29 13:42:51.126542-05:00,7,10,0,2,0,,
SNMVN,reptile_gila,block_01,12/5/2023,fe7e9085-4408-f046-181c-7d8bba37b199,2023-12-05 15:34:21.887765-05:00,2023-12-05 15:45:10.826722-05:00,20,4,17,2,0,73%,
SPKZR,mammal_panda,block_01,12/5/2023,fe7e9085-4408-f046-181c-7d8bba37b199,2023-12-05 15:34:21.887765-05:00,2023-12-05 15:45:10.826722-05:00,6,23,5,18,0,,
SRKLP,reptile_komodo,block_01,12/5/2023,fe7e9085-4408-f046-181c-7d8bba37b199,2023-12-05 15:34:21.887765-05:00,2023-12-05 15:45:10.826722-05:00,19,5,12,4,0,,
STWXJ,mammal_thylacine,block_01,12/5/2023,fe7e9085-4408-f046-181c-7d8bba37b199,2023-12-05 15:34:21.887765-05:00,2023-12-05 15:45:10.826722-05:00,3,16,1,11,0,,
SNMVN,reptile_gila,block_02,12/5/2023,f6d2667c-495f-002e-285c-1a83782872c5,2023-12-05 15:51:48.409959-05:00,2023-12-05 16:05:05.932582-05:00,17,9,12,5,0,71%,
SPKZR,mammal_panda,block_02,12/5/2023,f6d2667c-495f-002e-285c-1a83782872c5,2023-12-05 15:51:48.409959-05:00,2023-12-05 16:05:05.932582-05:00,18,30,11,22,0,,
SRKLP,reptile_komodo,block_02,12/5/2023,f6d2667c-495f-002e-285c-1a83782872c5,2023-12-05 15:51:48.409959-05:00,2023-12-05 16:05:05.932582-05:00,34,10,26,7,0,,
STWXJ,mammal_thylacine,block_02,12/5/2023,f6d2667c-495f-002e-285c-1a83782872c5,2023-12-05 15:51:48.409959-05:00,2023-12-05 16:05:05.932582-05:00,1,22,1,16,0,,
SNMVN,reptile_gila,block_03,12/5/2023,ea201d76-41c0-750b-896e-2e8dbb16594f,2023-12-05 16:14:14.258391-05:00,2023-12-05 16:24:29.560367-05:00,17,7,15,3,0,70%,
