"userid","game_familiarity","game_questions"
"BVCX","{
 ""BlockNo"": [
  1
 ],
 ""Q2"": [
  ""This person is a friend. I know this person well and like them.""
 ],
 ""Q3"": [
  ""This person is a stranger. I am meeting them for the 1st time today.""
 ],
 ""Q4"": [
  ""This person is a stranger. I am meeting them for the 1st time today.""
 ]
}","{
 ""BlockNo"": [
  1,
  2,
  3,
  4
 ],
 ""Q2"": [
  ""Panda"",
  ""Panda"",
  ""Panda"",
  ""Panda""
 ],
 ""Q3"": [
  2,
  4,
  2,
  3
 ],
 ""Q4"": [
  3,
  3,
  3,
  2
 ],
 ""Q5"": [
  16,
  5,
  4,
  6
 ],
 ""Q6"": [
  3,
  4,
  4,
  3
 ],
 ""Q7"": [
  51,
  21,
  41,
  38
 ],
 ""Q8"": [
  10,
  6,
  5,
  11
 ],
 ""Q9"": [
  38,
  21,
  15,
  19
 ],
 ""Q10"": [
  32,
  18,
  23,
  26
 ]
}"
"CVBN","{
 ""BlockNo"": [
  1
 ],
 ""Q2"": [
  ""This person is a friend. I know this person well and like them.""
 ],
 ""Q3"": [
  ""This person is a stranger. I am meeting them for the 1st time today.""
 ],
 ""Q4"": [
  ""This person is a stranger. I am meeting them for the 1st time today.""
 ]
}","{
 ""BlockNo"": [
  1,
  2,
  3,
  4
 ],
 ""Q2"": [
  ""Komodo"",
  ""Komodo"",
  ""Komodo"",
  ""Komodo""
 ],
 ""Q3"": [
  5,
  6,
  6,
  6
 ],
 ""Q4"": [
  10,
  11,
  13,
  9
 ],
 ""Q5"": [
  7,
  13,
  13,
  12
 ],
 ""Q6"": [
  10,
  9,
  14,
  8
 ],
 ""Q7"": [
  50,
  65,
  62,
  60
 ],
 ""Q8"": [
  9,
  10,
  13,
  10
 ],
 ""Q9"": [
  90,
  96,
  77,
  95
 ],
 ""Q10"": [
  50,
  67,
  58,
  62
 ]
}"
"DFGH","{
 ""BlockNo"": [
  1
 ],
 ""Q2"": [
  ""This person is a friend. I know this person well and like them.""
 ],
 ""Q3"": [
  ""This person is a stranger. I am meeting them for the 1st time today.""
 ],
 ""Q4"": [
  ""This person is a stranger. I am meeting them for the 1st time today.""
 ]
}","{
 ""BlockNo"": [
  1,
  2,
  3,
  4
 ],
 ""Q2"": [
  ""Gila"",
  ""Gila"",
  ""Gila"",
  ""Gila""
 ],
 ""Q3"": [
  5,
  9,
  12,
  8
 ],
 ""Q4"": [
  8,
  5,
  9,
  6
 ],
 ""Q5"": [
  15,
  19,
  19,
  19
 ],
 ""Q6"": [
  6,
  5,
  9,
  7
 ],
 ""Q7"": [
  100,
  91,
  91,
  94
 ],
 ""Q8"": [
  4,
  6,
  4,
  5
 ],
 ""Q9"": [
  38,
  68,
  50,
  82
 ],
 ""Q10"": [
  91,
  90,
  89,
  94
 ]
}"
"DFZX","{
 ""BlockNo"": [
  1
 ],
 ""Q2"": [
  ""This person is a stranger. I am meeting them for the 1st time today.""
 ],
 ""Q3"": [
  ""This person is a stranger. I am meeting them for the 1st time today.""
 ],
 ""Q4"": [
  ""This person is a stranger. I am meeting them for the 1st time today.""
 ]
}","{
 ""BlockNo"": [
  1,
  2,
  3,
  4
 ],
 ""Q2"": [
  ""Gila"",
  ""Gila"",
  ""Gila"",
  ""Gila""
 ],
 ""Q3"": [
  1,
  1,
  1,
  1
 ],
 ""Q4"": [
  1,
  1,
  1,
  1
 ],
 ""Q5"": [
  20,
  18,
  20,
  20
 ],
 ""Q6"": [
  1,
  1,
  1,
  1
 ],
 ""Q7"": [
  91,
  95,
  100,
  100
 ],
 ""Q8"": [
  1,
  1,
  1,
  1
 ],
 ""Q9"": [
  100,
  100,
  100,
  100
 ],
 ""Q10"": [
  100,
  100,
  100,
  100
 ]
}"
"DKLQ","{
 ""BlockNo"": [
  1
 ],
 ""Q2"": [
  ""This person is a stranger. I am meeting them for the 1st time today.""
 ],
 ""Q3"": [
  ""This person is a stranger. I am meeting them for the 1st time today.""
 ],
 ""Q4"": [
  ""This person is a friend. I know this person well and like them.""
 ]
}","{
 ""BlockNo"": [
  1,
  2,
  3,
  4
 ],
 ""Q2"": [
  ""Komodo"",
  ""Komodo"",
  ""Komodo"",
  ""Komodo""
 ],
 ""Q3"": [
  4,
  11,
  11,
  11
 ],
 ""Q4"": [
  9,
  8,
  12,
  6
 ],
 ""Q5"": [
  20,
  20,
  20,
  20
 ],
 ""Q6"": [
  12,
  14,
  12,
  15
 ],
 ""Q7"": [
  100,
  100,
  100,
  100
 ],
 ""Q8"": [
  12,
  13,
  12,
  11
 ],
 ""Q9"": [
  65,
  60,
  60,
  65
 ],
 ""Q10"": [
  90,
  100,
  100,
  100
 ]
}"
"EDFR","{
 ""BlockNo"": [
  1
 ],
 ""Q2"": [
  ""This person is a stranger. I am meeting them for the 1st time today.""
 ],
 ""Q3"": [
  ""This person is a stranger. I am meeting them for the 1st time today.""
 ],
 ""Q4"": [
  ""This person is a stranger. I am meeting them for the 1st time today.""
 ]
}","{
 ""BlockNo"": [
  1,
  2,
  3,
  4
 ],
 ""Q2"": [
  ""Panda"",
  ""Panda"",
  ""Panda"",
  ""Panda""
 ],
 ""Q3"": [
  7,
  9,
  11,
  13
 ],
 ""Q4"": [
  9,
  12,
  12,
  13
 ],
 ""Q5"": [
  9,
  15,
  17,
  17
 ],
 ""Q6"": [
  14,
  14,
  16,
  15
 ],
 ""Q7"": [
  54,
  80,
  83,
  73
 ],
 ""Q8"": [
  14,
  13,
  17,
  15
 ],
 ""Q9"": [
  12,
  21,
  23,
  11
 ],
 ""Q10"": [
  59,
  68,
  78,
  69
 ]
}"
"FTLD","{
 ""BlockNo"": [
  1
 ],
 ""Q2"": [
  ""This person is a friend. I know this person well and like them.""
 ],
 ""Q3"": [
  ""This person is a friend. I know this person well and like them.""
 ],
 ""Q4"": [
  ""This person is a friend. I know this person well and like them.""
 ]
}","{
 ""BlockNo"": [
  1,
  2,
  3,
  4
 ],
 ""Q2"": [
  ""Gila"",
  ""Gila"",
  ""Gila"",
  ""Gila""
 ],
 ""Q3"": [
  4,
  4,
  4,
  3
 ],
 ""Q4"": [
  4,
  4,
  3,
  3
 ],
 ""Q5"": [
  16,
  16,
  18,
  19
 ],
 ""Q6"": [
  5,
  4,
  3,
  4
 ],
 ""Q7"": [
  67,
  87,
  89,
  96
 ],
 ""Q8"": [
  3,
  4,
  3,
  1
 ],
 ""Q9"": [
  80,
  82,
  95,
  100
 ],
 ""Q10"": [
  50,
  81,
  98,
  96
 ]
}"
"GHJK","{
 ""BlockNo"": [
  1
 ],
 ""Q2"": [
  ""This person is a stranger. I am meeting them for the 1st time today.""
 ],
 ""Q3"": [
  ""This person is a stranger. I am meeting them for the 1st time today.""
 ],
 ""Q4"": [
  ""This person is a stranger. I am meeting them for the 1st time today.""
 ]
}","{
 ""BlockNo"": [
  1,
  2,
  3,
  4
 ],
 ""Q2"": [
  ""Gila"",
  ""Gila"",
  ""Gila"",
  ""Gila""
 ],
 ""Q3"": [
  6,
  14,
  14,
  15
 ],
 ""Q4"": [
  12,
  17,
  13,
  13
 ],
 ""Q5"": [
  20,
  20,
  20,
  20
 ],
 ""Q6"": [
  11,
  15,
  13,
  8
 ],
 ""Q7"": [
  100,
  100,
  100,
  100
 ],
 ""Q8"": [
  10,
  15,
  14,
  14
 ],
 ""Q9"": [
  85,
  64,
  85,
  100
 ],
 ""Q10"": [
  100,
  100,
  100,
  100
 ]
}"
"GTYU","{
 ""BlockNo"": [
  1
 ],
 ""Q2"": [
  ""This person is an acquaintance. I have spoken to this person before but do not know them well.""
 ],
 ""Q3"": [
  ""This person is an acquaintance. I have spoken to this person before but do not know them well.""
 ],
 ""Q4"": [
  ""This person is an acquaintance. I have spoken to this person before but do not know them well.""
 ]
}","{
 ""BlockNo"": [
  1,
  2,
  3,
  4
 ],
 ""Q2"": [
  ""Komodo"",
  ""Komodo"",
  ""Komodo"",
  ""Komodo""
 ],
 ""Q3"": [
  2,
  2,
  2,
  2
 ],
 ""Q4"": [
  10,
  4,
  2,
  2
 ],
 ""Q5"": [
  20,
  20,
  20,
  20
 ],
 ""Q6"": [
  12,
  4,
  20,
  2
 ],
 ""Q7"": [
  100,
  100,
  100,
  100
 ],
 ""Q8"": [
  5,
  2,
  1,
  2
 ],
 ""Q9"": [
  100,
  100,
  100,
  100
 ],
 ""Q10"": [
  100,
  100,
  100,
  100
 ]
}"
"HGFD","{
 ""BlockNo"": [
  1
 ],
 ""Q2"": [
  ""This person is a stranger. I am meeting them for the 1st time today.""
 ],
 ""Q3"": [
  ""This person is a friend. I know this person well and like them.""
 ],
 ""Q4"": [
  ""This person is a stranger. I am meeting them for the 1st time today.""
 ]
}","{
 ""BlockNo"": [
  1,
  2,
  3,
  4
 ],
 ""Q2"": [
  ""Panda"",
  ""Panda"",
  ""Panda"",
  ""Panda""
 ],
 ""Q3"": [
  13,
  6,
  8,
  16
 ],
 ""Q4"": [
  6,
  9,
  13,
  11
 ],
 ""Q5"": [
  11,
  14,
  14,
  16
 ],
 ""Q6"": [
  11,
  11,
  11,
  10
 ],
 ""Q7"": [
  55,
  65,
  64,
  79
 ],
 ""Q8"": [
  15,
  14,
  16,
  8
 ],
 ""Q9"": [
  10,
  36,
  23,
  54
 ],
 ""Q10"": [
  62,
  72,
  69,
  85
 ]
}"
