InstigatedByNames,DamagedActorName,DamagedActorHost
DID,PlayerPawn_C_2147481747,DID
DID,PlayerPawn_C_2147481739,DID
THYLACINE-MAMMA,PlayerPawn_C_2147481739,DID
THYLACINE-MAMMA,wing_wall_10,DID
THYLACINE-MAMMA,wing_wall_10,DID
THYLACINE-MAMMA,wing_wall_4_glass_15,DID
THYLACINE-MAMMA,PlayerPawn_C_2147481743,DID
THYLACINE-MAMMA,PlayerPawn_C_2147481743,DID
THYLACINE-MAMMA,barier_12,DID
THYLACINE-MAMMA,wing_wall_4_glass_15,DID
THYLACINE-MAMMA,PlayerPawn_C_2147481743,DID
THYLACINE-MAMMA,MainHall_WallGrass_01_123,DID
THYLACINE-MAMMA,MainHall_Arc_02_140,DID
THYLACINE-MAMMA,MainHall_WallGrass_01_123,DID
PANDA_MAMMAL,glass_front_masked_4,DID
THYLACINE-MAMMA,barier_12,DID
PANDA_MAMMAL,main_front_19,DID
THYLACINE-MAMMA,MainHall_WallGrass_01_123,DID
PANDA_MAMMAL,main_front_19,DID
THYLACINE-MAMMA,MainHall_WallGrass_01_123,DID
PANDA_MAMMAL,main_front_19,DID
THYLACINE-MAMMA,,
PANDA_MAMMAL,bal_r2_20,DID
THYLACINE-MAMMA,unreal_holo_6,DID
PANDA_MAMMAL,bal_r2_20,DID
THYLACINE-MAMMA,wing_wall_4_glass_15,DID
PANDA_MAMMAL,bal_r2_5,DID
PANDA_MAMMAL,bal_r2_20,DID
PANDA_MAMMAL,Floor_1,DID
THYLACINE-MAMMA,wing_wall_4_glass_15,DID
PANDA_MAMMAL,Floor_1,DID
THYLACINE-MAMMA,wing_wall_4_glass_15,DID
PANDA_MAMMAL,wing_wall_5,DID
THYLACINE-MAMMA,wing_wall_10,DID
PANDA_MAMMAL,Floor_1,DID
PANDA_MAMMAL,Floor_1,DID
THYLACINE-MAMMA,wing_wall_10,DID
PANDA_MAMMAL,Floor_1,DID
THYLACINE-MAMMA,wing_wall_4_glass_15,DID
PANDA_MAMMAL,lvl_Lights_01_73,DID
PANDA_MAMMAL,bal_r2_20,DID
THYLACINE-MAMMA,wing_wall_10,DID
DID,ProjRocket_C_2147481516,DID
DID,PlayerPawn_C_2147481753,DID
PANDA_MAMMAL,Floor_1,DID
DID,ProjRocket_C_2147481516,DID
DID,ProjRocket_C_2147481500,DID
DID,PlayerPawn_C_2147481753,DID
PANDA_MAMMAL,Floor_1,DID
PANDA_MAMMAL,Floor_1,DID
DID,barier_12,DID
PANDA_MAMMAL,Floor_1,DID
DID,barier_12,DID
PANDA_MAMMAL,Floor_1,DID
DID,barier_12,DID
PANDA_MAMMAL,Floor_1,DID
DID,barier_12,DID
DID,lvl_Trshcan_01_137,DID
DID,spawn_point_1_glass_5,DID
DID,spawn_point_interior_6,DID
DID,spawn_point_interior_6,DID
DID,PlayerPawn_C_2147481610,DID
DID,PlayerPawn_C_2147481610,DID
DID,spawn_point_interior_6,DID
DID,upper_p1_13,DID
THYLACINE-MAMMA,PlayerPawn_C_2147481364,DID
DID,spawn_point_interior_6,DID
DID,spawn_point_interior_6,DID
DID,spawn_point_interior_6,DID
DID,PlayerPawn_C_2147481364,DID
DID,PlayerPawn_C_2147481610,DID
DID,lvl_Trshcan_01_137,DID
DID,spawn_point_interior_6,DID
DID,spawn_point_interior_6,DID
DID,spawn_point_interior_6,DID
DID,lvl_Trshcan_01_137,DID
DID,upper_p1_13,DID
DID,PlayerPawn_C_2147481610,DID
DID,upper_p1_13,DID
PANDA_MAMMAL,PlayerPawn_C_2147481739,DID
THYLACINE-MAMMA,bal_r2_3,DID
THYLACINE-MAMMA,bal_r2_3,DID
THYLACINE-MAMMA,bal_r2_3,DID
THYLACINE-MAMMA,PlayerPawn_C_2147481743,DID
THYLACINE-MAMMA,PlayerPawn_C_2147481743,DID
THYLACINE-MAMMA,bal_r2_3,DID
